,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.04120478630065918,0.02758964448479681,0.8502402305603027,0.1788954589260341,7,uniform,"{'n_neighbors': 7, 'weights': 'uniform'}",-0.04665559738533417,-0.04572744927848178,-0.04156665805863727,-0.04452328920976583,-0.0456194978578864,-0.04481849835802109,0.0017609280839747964,12
1,0.023111772537231446,0.014177726606472292,1.0455050945281983,0.26108453883352645,7,distance,"{'n_neighbors': 7, 'weights': 'distance'}",-0.045996167261614124,-0.04520308644277839,-0.040988990398156164,-0.044013389545867664,-0.0451042879092274,-0.04426118431152875,0.0017536718273949432,6
2,0.016141986846923827,0.0037163100381227394,0.711357593536377,0.22804622049729456,9,uniform,"{'n_neighbors': 9, 'weights': 'uniform'}",-0.046414869083473496,-0.04469067583187272,-0.040873980854556215,-0.044831482923216225,-0.045260297005598436,-0.04441426113974342,0.0018709501557841297,7
3,0.0131805419921875,0.0009115530142633258,0.47576680183410647,0.017463589850713532,9,distance,"{'n_neighbors': 9, 'weights': 'distance'}",-0.045679578269445645,-0.04414735386028976,-0.04025786155882706,-0.04420606825311703,-0.04467471476671021,-0.043793115341677936,0.001850945394567593,2
4,0.013149595260620118,0.0007037682991584278,0.4675584316253662,0.022884429878840214,11,uniform,"{'n_neighbors': 11, 'weights': 'uniform'}",-0.04639018383040106,-0.044363631481157594,-0.04070854513735685,-0.044367605199349965,-0.04547361315773229,-0.044260715761199554,0.0019310974853983091,5
5,0.014374828338623047,0.0015061993572187378,0.9207418918609619,0.22157269303379912,11,distance,"{'n_neighbors': 11, 'weights': 'distance'}",-0.04566661816178238,-0.04381408697736286,-0.04005679945091903,-0.04370624100207535,-0.044845775461435866,-0.0436179042107151,0.001920034105870201,1
6,0.02798185348510742,0.017606087955834612,0.8227777004241943,0.21942707483769008,13,uniform,"{'n_neighbors': 13, 'weights': 'uniform'}",-0.04650406162065787,-0.044696965441351134,-0.041102847934519515,-0.04423977983159566,-0.04595214584408843,-0.04449916013444252,0.0018853190224551249,9
7,0.015448045730590821,0.0030301589445208433,0.9237377643585205,0.09514853484123272,13,distance,"{'n_neighbors': 13, 'weights': 'distance'}",-0.045759440133041805,-0.04412345387656428,-0.04038935434651231,-0.04360192375105748,-0.045285701299955,-0.043831974681426175,0.0018877479954016868,3
8,0.02371516227722168,0.014278359657807976,0.7674972534179687,0.152533050516911,15,uniform,"{'n_neighbors': 15, 'weights': 'uniform'}",-0.04643269699929359,-0.045214372969180856,-0.04135143372024745,-0.04449237527172054,-0.04610774269793943,-0.044719724331676376,0.0018167342600267798,10
9,0.02276768684387207,0.009524897656959729,0.7837385177612305,0.24362708013388354,15,distance,"{'n_neighbors': 15, 'weights': 'distance'}",-0.04568895258014962,-0.04458526976757799,-0.04062765869525129,-0.04382663205937975,-0.04542513619876512,-0.04403072986022476,0.0018234108369134764,4
10,0.013051033020019531,0.000262897195279927,0.5363857746124268,0.09216901497445823,17,uniform,"{'n_neighbors': 17, 'weights': 'uniform'}",-0.04690837966713895,-0.04540194615559477,-0.041808038378840146,-0.04471444129387942,-0.04692809386835167,-0.04515217987276099,0.0018801802481864893,14
11,0.013598346710205078,0.0010374007077564927,0.5444918155670166,0.04000183242720449,17,distance,"{'n_neighbors': 17, 'weights': 'distance'}",-0.04615650253456247,-0.044772264588498215,-0.04108049031237776,-0.044025321681248675,-0.04619205005105093,-0.044445325833547614,0.0018753443265743003,8
12,0.018753623962402342,0.00944188245174545,0.6149161338806153,0.1230673562205405,19,uniform,"{'n_neighbors': 19, 'weights': 'uniform'}",-0.04725280395239299,-0.04579384495116166,-0.042209094395623065,-0.04519598370064448,-0.04714603318347514,-0.04551955203665947,0.0018324118526387382,15
13,0.014419841766357421,0.0019121016135511969,0.6165539264678955,0.12067235971291644,19,distance,"{'n_neighbors': 19, 'weights': 'distance'}",-0.046503976844621236,-0.04517095504207128,-0.041466458168644756,-0.04448937232738674,-0.04641268180039349,-0.0448086888366235,0.0018357832406110971,11
14,0.015386724472045898,0.0037496692142415726,0.5773903846740722,0.19147398697808143,20,uniform,"{'n_neighbors': 20, 'weights': 'uniform'}",-0.04752123188771944,-0.045993474980975745,-0.04259759400911225,-0.045360638782517726,-0.04704500440012292,-0.045703588812089614,0.001729281617320963,16
15,0.013460731506347657,0.000577691800810514,0.4904781818389893,0.03119702543700644,20,distance,"{'n_neighbors': 20, 'weights': 'distance'}",-0.04676975884356978,-0.04536509558762294,-0.0418344824896339,-0.04465917270620165,-0.04633172355480152,-0.044992046636365954,0.0017421352904740315,13
